"student_id","name","course_name","semester_name","attendance_percentage","midterm","final","project","average_score"
1,"Rachel Arnold","Course 1","Semester 1",65,59,100,78,"79.00"
1,"Rachel Arnold","Course 2","Semester 1",66,71,64,65,"66.67"
1,"Rachel Arnold","Course 7","Semester 1",40,37,39,45,"40.33"
1,"Rachel Arnold","Course 9","Semester 1",72,45,35,35,"38.33"
1,"Rachel Arnold","Course 1","Semester 2",71,67,63,61,"63.67"
1,"Rachel Arnold","Course 6","Semester 2",99,78,58,58,"64.67"
1,"Rachel Arnold","Course 9","Semester 2",66,94,54,77,"75.00"
1,"Rachel Arnold","Course 1","Semester 3",49,49,31,33,"37.67"
1,"Rachel Arnold","Course 5","Semester 3",74,33,30,35,"32.67"
1,"Rachel Arnold","Course 6","Semester 3",72,100,60,64,"74.67"
2,"Jennifer Roberts","Course 1","Semester 1",80,62,59,98,"73.00"
2,"Jennifer Roberts","Course 9","Semester 1",63,45,31,48,"41.33"
2,"Jennifer Roberts","Course 1","Semester 2",70,71,56,90,"72.33"
2,"Jennifer Roberts","Course 6","Semester 2",34,41,48,48,"45.67"
2,"Jennifer Roberts","Course 1","Semester 3",74,69,63,98,"76.67"
2,"Jennifer Roberts","Course 2","Semester 3",80,98,73,88,"86.33"
2,"Jennifer Roberts","Course 4","Semester 3",96,99,56,86,"80.33"
3,"Leah Owens","Course 10","Semester 1",81,89,71,88,"82.67"
3,"Leah Owens","Course 5","Semester 1",80,70,65,71,"68.67"
3,"Leah Owens","Course 9","Semester 1",83,75,62,67,"68.00"
3,"Leah Owens","Course 1","Semester 2",89,94,55,91,"80.00"
3,"Leah Owens","Course 10","Semester 2",87,51,93,79,"74.33"
3,"Leah Owens","Course 3","Semester 2",79,91,97,96,"94.67"
3,"Leah Owens","Course 1","Semester 3",87,77,83,76,"78.67"
3,"Leah Owens","Course 9","Semester 3",60,98,67,84,"83.00"
4,"Steven Mcknight","Course 1","Semester 1",68,68,75,82,"75.00"
4,"Steven Mcknight","Course 4","Semester 1",87,63,55,56,"58.00"
4,"Steven Mcknight","Course 8","Semester 1",73,57,98,96,"83.67"
4,"Steven Mcknight","Course 9","Semester 1",68,64,66,87,"72.33"
4,"Steven Mcknight","Course 10","Semester 2",56,49,49,44,"47.33"
4,"Steven Mcknight","Course 2","Semester 2",86,74,74,62,"70.00"
4,"Steven Mcknight","Course 4","Semester 2",69,93,66,79,"79.33"
4,"Steven Mcknight","Course 8","Semester 2",92,60,61,64,"61.67"
4,"Steven Mcknight","Course 6","Semester 3",97,74,75,97,"82.00"
4,"Steven Mcknight","Course 9","Semester 3",49,43,47,34,"41.33"
5,"Ana Hill","Course 2","Semester 1",48,31,43,39,"37.67"
5,"Ana Hill","Course 4","Semester 1",80,60,74,97,"77.00"
5,"Ana Hill","Course 7","Semester 1",62,89,88,95,"90.67"
5,"Ana Hill","Course 9","Semester 1",77,96,81,57,"78.00"
5,"Ana Hill","Course 5","Semester 2",63,64,69,53,"62.00"
5,"Ana Hill","Course 6","Semester 2",66,44,46,40,"43.33"
5,"Ana Hill","Course 8","Semester 2",94,94,57,69,"73.33"
5,"Ana Hill","Course 2","Semester 3",68,82,70,84,"78.67"
5,"Ana Hill","Course 3","Semester 3",77,53,91,64,"69.33"
5,"Ana Hill","Course 5","Semester 3",67,97,50,93,"80.00"
5,"Ana Hill","Course 7","Semester 3",96,90,54,68,"70.67"
5,"Ana Hill","Course 8","Semester 3",71,76,83,81,"80.00"
6,"Anthony Craig","Course 1","Semester 1",98,95,50,99,"81.33"
6,"Anthony Craig","Course 2","Semester 1",85,76,68,64,"69.33"
6,"Anthony Craig","Course 6","Semester 1",87,68,56,84,"69.33"
6,"Anthony Craig","Course 1","Semester 2",61,57,81,87,"75.00"
6,"Anthony Craig","Course 4","Semester 2",83,78,89,79,"82.00"
6,"Anthony Craig","Course 7","Semester 2",96,75,88,63,"75.33"
6,"Anthony Craig","Course 8","Semester 2",51,48,48,38,"44.67"
6,"Anthony Craig","Course 10","Semester 3",100,57,86,63,"68.67"
